Market	Symbol	Description
XNAS	AACC	Asset Acceptance Capital
XNAS	AAIT	AC Asia Information Tech MSCI Ishares
XNAS	AAME	Atlantic American Corp.
XNAS	AAON	Aaon
XNAS	AAPL	Apple Inc.
XNAS	AAWW	Atlas Air Worldwide Holdings
XNAS	AAXJ	All Country Asia Ex Jpn Idx MSCI Ishares
XNAS	ABAX	Abaxis
XNAS	ABCB	Ameris Bancorp
XNAS	ABCD	Cambium Learning Group
XNAS	ABCO	The Advisory Board Company
XNAS	ABFS	Arkansas Best Corp.
XNAS	ABIO	Arca Biopharma
XNAS	ABMD	Abiomed
XNAS	ABTL	Autobytel Inc.
XNAS	ACAD	Acadia Pharmaceuticals Inc.
XNAS	ACAS	American Capital
XNAS	ACAT	Arctic Cat Inc.
XNAS	ACCL	Accelrys
XNAS	ACET	Aceto Corp.
XNAS	ACFC	Atlantic Coast Federal Corp.
XNAS	ACFN	Acorn Energy
XNAS	ACGL	Arch Capital Group Ltd
XNAS	ACHC	Acadia Healthcare Company Inc.
XNAS	ACHN	Achillion Pharmaceuticals
XNAS	ACIW	Aci Worldwide
XNAS	ACLS	Axcelis Technologies
XNAS	ACNB	Acnb Corp.
XNAS	ACOR	Acorda Therapeutics
XNAS	ACPW	Active Power
XNAS	ACRX	Acelrx Pharmaceuticals
XNAS	ACST	Acasti Pharma Inc
XNAS	ACTG	Acacia Research Corp.
XNAS	ACTS	Actions Semiconductor Co.
XNAS	ACUR	Acura Pharmaceuticals
XNAS	ACWI	ACWI Index MSCI Ishares
XNAS	ACWX	ACWI Ex-US Index MSCI Ishares
XNAS	ACXM	Acxiom Corp.
XNAS	ADAT	Authentidate Holding
XNAS	ADBE	Adobe Systems Incorporated
XNAS	ADEP	Adept Technology
XNAS	ADES	Ada-Es
XNAS	ADI	Analog Devices
XNAS	ADNC	Audience Inc.
XNAS	ADP	Automatic Data Processing
XNAS	ADRA	Asia 50 ADR Index Bldrs
XNAS	ADRD	Dev Mkts 100 ADR Index Bldrs
XNAS	ADRE	Emrg Mkts 50 ADR Index Bldrs
XNAS	ADRU	Europe 100 ADR Index Bldrs
XNAS	ADSK	Autodesk
XNAS	ADTN	Adtran
XNAS	ADUS	Addus Homecare Corp.
XNAS	ADVS	Advent Software
XNAS	AEGN	Aegoin Corp
XNAS	AEGR	Aegerion Pharmaceuticals
XNAS	AEHR	Aehr Test Systems
XNAS	AEIS	Advanced Energy Industries
XNAS	AEPI	Aep Industries Inc.
XNAS	AERL	Asia Entertainment & Resources Ltd
XNAS	AETI	American Electric Technologies
XNAS	AEY	Addvantage Technologies Group
XNAS	AEZS	Aeterna Zentaris
XNAS	AFAM	Almost Family Inc
XNAS	AFCB	Athens Bancshares Corp.
XNAS	AFCE	Afc Enterprises
XNAS	AFFX	Affymetrix
XNAS	AFFY	Affymax
XNAS	AFOP	Alliance Fiber Optic Products
XNAS	AFSI	Amtrust Financial Services
XNAS	AGEN	Agenus Inc.
XNAS	AGII	Argo Group International Holdings Ltd
XNAS	AGIIL	Argo Group International Holdin
XNAS	AGNC	American Capital Agency
XNAS	AGNCP	American Capital
XNAS	AGYS	Agilysys
XNAS	AHGP	Alliance Holdings Gp L.P.
XNAS	AHPI	Allied Healthcare Products
XNAS	AIMC	Altra Holdings
XNAS	AINV	Apollo Investment Corp.
XNAS	AIRM	Air Methods Corp.
XNAS	AIRT	Air T
XNAS	AIXG	Aixtron Se
XNAS	AKAM	Akamai Technologies
XNAS	AKRX	Akorn
XNAS	ALCO	Alico
XNAS	ALCS	Alco Stores Inc
XNAS	ALGN	Align Technology
XNAS	ALGT	Allegiant Travel Company
XNAS	ALIM	Alimera Sciences
XNAS	ALKS	Alkermes
XNAS	ALLB	Alliance Bank
XNAS	ALLT	Allot Communications Ltd
XNAS	ALNC	Alliance Financial Corp.
XNAS	ALNY	Alnylam Pharmaceuticals
XNAS	ALOG	Analogic Corp.
XNAS	ALOT	Astro-Med
XNAS	ALRN	American Learning Corp.
XNAS	ALSK	Alaska Communications Systems
XNAS	ALTE	Alterra Capital Holdings Ltd
XNAS	ALTI	Altair Nanotechnologies Inc.
XNAS	ALTR	Altera Corp.
XNAS	ALVR	Alvarion Ltd
XNAS	ALXA	Alexza Pharmaceuticals
XNAS	ALXN	Alexion Pharmaceuticals
XNAS	AMAG	Amag Pharmaceuticals
XNAS	AMAP	Autonavi Holdings
XNAS	AMAT	Applied Materials
XNAS	AMBA	Ambarella Inc.
XNAS	AMBT	Ambient Corp
XNAS	AMCC	Applied Micro Circuits Corp.
XNAS	AMCF	Andatee China Marine Fuel Services
XNAS	AMCN	Airmedia Group Inc
XNAS	AMCX	Amc Networks Inc.
XNAS	AMED	Amedisys Inc
XNAS	AMGN	Amgen Inc.
XNAS	AMIC	American Independence
XNAS	AMKR	Amkor Technology
XNAS	AMNB	American National Bankshares
XNAS	AMOT	Allied Motion Technologies
XNAS	AMOV	America Movil S.A.B. De C.V.
XNAS	AMPE	Ampio Pharmaceutical
XNAS	AMPL	Ampal-American Israel Corp.
XNAS	AMRB	American River Bankshares
XNAS	AMRI	Albany Molecular Research
XNAS	AMRN	Amarin Corporation Plc
XNAS	AMRS	Amyris
XNAS	AMSC	American Superconductor Corp.
XNAS	AMSF	Amerisafe
XNAS	AMSG	Amsurg
XNAS	AMSWA	American Software
XNAS	AMWD	American Woodmark Corp.
XNAS	AMZN	Amazon.Com
XNAS	ANAC	Anacor Pharmaceuticals
XNAS	ANAD	Anadigics
XNAS	ANAT	American National Insurance
XNAS	ANCB	Anchor Bancorp
XNAS	ANCI	American Caresource Holdings
XNAS	ANCX	Access National Corp.
XNAS	ANDA	Andina Acquisition Corporation
XNAS	ANDAU	Andina Acquisition Corporation
XNAS	ANDAW	Andina Acquisition Corporation
XNAS	ANDE	The Andersons
XNAS	ANEN	Anaren
XNAS	ANGI	Angie's List Inc.
XNAS	ANGO	Angiodynamics
XNAS	ANIK	Anika Therapeutics Inc.
XNAS	ANLY	Analysts International Corp.
XNAS	ANNB	Annapolis Bancorp Inc.
XNAS	ANSS	Ansys
XNAS	ANTH	Anthera Pharmaceuticals
XNAS	ANTP	Phazar Corp
XNAS	AOSL	Alpha And Omega Semiconductor
XNAS	APAGF	Apco Oil And Gas International
XNAS	APEI	American Public Education
XNAS	APFC	American Pacific Corp.
XNAS	APKT	Acme Packet
XNAS	APOG	Apogee Enterprises
XNAS	APOL	Apollo Group
XNAS	APPY	Aspenbio Pharma
XNAS	APRI	Apricus Biosciences Inc
XNAS	APSA	Alto Palermo S.A.
XNAS	APWC	Asia Pac Wire &Cable
XNAS	AQUUU	Aquasition Corp.
XNAS	ARAY	Accuray Incorporated
XNAS	ARCC	Ares Capital Corp.
XNAS	ARCI	Appliance Recycling Centers
XNAS	ARCP	American Realty Capital Propert
XNAS	ARCT	American Realty Capital Trust
XNAS	ARCW	Arc Wireless Solutions
XNAS	ARDNA	Arden Group
XNAS	AREX	Approach Resources Inc.
XNAS	ARIA	Ariad Pharmaceuticals
XNAS	ARII	American Railcar Industries
XNAS	ARKR	Ark Restaurants
XNAS	ARLP	Alliance Resource Partners L.P.
XNAS	ARMH	Arm Holdings Plc
XNAS	ARNA	Arena Pharmaceuticals
XNAS	AROW	Arrow Financial Corp.
XNAS	ARQL	Arqule
XNAS	ARRS	Arris Group Inc
XNAS	ARRY	Array Biopharma Inc.
XNAS	ARTC	Arthrocare Corp.
XNAS	ARTNA	Artesian Resources Corp.
XNAS	ARTW	Art'S-Way Manufacturing Co.
XNAS	ARTX	Arotech Corp.
XNAS	ARUN	Aruba Networks
XNAS	ARWR	Arrowhead Research Corp.
XNAS	ASBB	Asb Bancorp Inc.
XNAS	ASBC	Associated Banc-Corp
XNAS	ASBCW	Associated Banc-Corp
XNAS	ASBI	Ameriana Bancorp
XNAS	ASCA	Ameristar Casinos
XNAS	ASCMA	Ascent Media Corp.
XNAS	ASEI	American Science And Engineering
XNAS	ASFI	Asta Funding
XNAS	ASIA	Asiainfo-Linkage
XNAS	ASMI	Asm International N.V.
XNAS	ASML	Asml Holding N.V.
XNAS	ASNA	Ascena Retail Group
XNAS	ASPS	Altisource Portfolio Solutions S.A.
XNAS	ASRV	Ameriserv Financial Inc.
XNAS	ASRVP	Ameriserv Financial Inc.
XNAS	ASTC	Astrotech Corp.
XNAS	ASTE	Astec Industries
XNAS	ASTI	Ascent Solar Technologies
XNAS	ASTM	Aastrom Biosciences
XNAS	ASTX	Astex Pharmaceuticals Inc
XNAS	ASUR	Asure Software Inc
XNAS	ASYS	Amtech Systems
XNAS	ATAI	Ata Inc.
XNAS	ATAX	America First Tax Exempt L.P.
XNAS	ATEA	Astea International
XNAS	ATEC	Alphatec Holdings
XNAS	ATHN	Athenahealth
XNAS	ATHX	Athersys
XNAS	ATLC	Atlanticus Holdings Corp.
XNAS	ATLO	Ames National Corp.
XNAS	ATMI	Atmi Inc.
XNAS	ATML	Atmel Corp.
XNAS	ATNI	Atlantic Tele-Network
XNAS	ATNY	Api Technologies
XNAS	ATOS	Atossa Genetics Inc.
XNAS	ATRC	Atricure
XNAS	ATRI	Atrion Corp.
XNAS	ATRM	Aetrium Inc.
XNAS	ATRO	Astronics Corp.
XNAS	ATRS	Antares Pharma
XNAS	ATSG	Air Transport Services Group Inc
XNAS	ATTU	Attunity Ltd
XNAS	ATVI	Activision Blizzard Inc
XNAS	ATX	Cross [A.T.] Company
XNAS	AUBN	Auburn National Bancorporation
XNAS	AUDC	Audiocodes Ltd
XNAS	AUXL	Auxilium Pharmaceuticals
XNAS	AVAV	Aerovironment
XNAS	AVCA	Advocat
XNAS	AVEO	Aveo Pharmaceuticals
XNAS	AVGO	Avago Technologies
XNAS	AVHI	Av Homes Inc
XNAS	AVID	Avid Technology
XNAS	AVNR	Avanir Pharmaceuticals Inc
XNAS	AVNW	Aviat Networks
XNAS	AWAY	Homeaway Inc.
XNAS	AWRE	Aware
XNAS	AXAS	Abraxas Petroleum Corp.
XNAS	AXDX	Accelerate Diagnostics Inc.
XNAS	AXFN	ACWI Ex-US Financials MSCI Ishares
XNAS	AXJS	AC Asia Ex Japan Smallcap MSCI Ishares
XNAS	AXTI	Axt Inc
XNAS	AZPN	Aspen Technology
XNAS	BABY	Natus Medical Inc.
XNAS	BAGL	Einstein Noah Restaurant Group
XNAS	BAMM	Books-A-Million
XNAS	BANC	First Pactrust Bancorp
XNAS	BANCL	First Pactrust Bancorp Inc.
XNAS	BANF	Bancfirst Corp.
XNAS	BANFP	Bancfirst Corp.
XNAS	BANR	Banner Corp.
XNAS	BASI	Bioanalytical Systems
XNAS	BBBY	Bed Bath & Beyond Inc.
XNAS	BBCN	Bbcn Bancorp Inc
XNAS	BBEP	Breitburn Energy Partners L.P.
XNAS	BBGI	Beasley Broadcast Group
XNAS	BBNK	Bridge Capital Holdings
XNAS	BBOX	Black Box Corp.
XNAS	BBRG	Bravo Brio Restaurant Group
XNAS	BBRY	Research In Motion Limited
XNAS	BBSI	Barrett Business Services
XNAS	BCBP	Bcb Bancorp Inc. [Nj]
XNAS	BCDS	Bcd Semiconductor Manufacturing Ltd
XNAS	BCOM	B Communications Ltd
XNAS	BCOR	Berjaya Philippines Inc
XNAS	BCOV	Brightcove Inc.
XNAS	BCPC	Balchem Corp.
XNAS	BCRX	Biocryst Pharmaceuticals
XNAS	BCSB	Bcsb Bancorp
XNAS	BDBD	Boulder Brands Inc
XNAS	BDE	Black Diamond
XNAS	BDGE	Bridge Bancorp
XNAS	BDMS	Birner Dental Management Services
XNAS	BDSI	Biodelivery Sciences International
XNAS	BEAT	Cardionet
XNAS	BEAV	Be Aerospace
XNAS	BEBE	Bebe Stores
XNAS	BECN	Beacon Roofing Supply
XNAS	BELFA	Bel Fuse Inc.
XNAS	BELFB	Bel Fuse Inc.
XNAS	BERK	Berkshire Bancorp
XNAS	BFIN	Bankfinancial Corp.
XNAS	BFLY	Bluefly
XNAS	BGCP	Bgc Partners
XNAS	BGFV	Big 5 Sporting Goods Corp.
XNAS	BGMD	Bg Medicine
XNAS	BGSC	Bgs Acquisition Corp.
XNAS	BGSCU	Bgs Acquisition Corp.
XNAS	BGSCW	Bgs Acquisition Corp.
XNAS	BIB	Ultra Nasdaq Biotechnology Proshares
XNAS	BICK	BICK Index First Trust
XNAS	BIDU	Baidu
XNAS	BIIB	Biogen Idec Inc
XNAS	BIOC	Bioclinica Inc
XNAS	BIOD	Biodel Inc.
XNAS	BIOF	Biofuel Energy
XNAS	BIOL	Biolase Technology
XNAS	BIOS	Bioscrip
XNAS	BIRT	Actuate Corp.
XNAS	BIS	Ultrashort Nasdaq Biotech Proshares
XNAS	BJRI	Bj's Restaurants
XNAS	BKCC	Blackrock Kelso Capital Corp.
XNAS	BKEP	Blueknight Energy
XNAS	BKEPP	Blueknight Energy Partners L.P.
XNAS	BKMU	Bank Mutual Corp.
XNAS	BKOR	Oak Ridge Financial Services
XNAS	BKSC	Bank Of South Carolina
XNAS	BKYF	The Bank Of Kentucky Financial
XNAS	BLDP	Ballard Power Systems
XNAS	BLDR	Builders Firstsource
XNAS	BLIN	Bridgeline Digital
XNAS	BLKB	Blackbaud
XNAS	BLMN	Bloomin' Brands Inc.
XNAS	BLMT	Bsb Bancorp Inc.
XNAS	BLRX	Biolinerx Ltd.
XNAS	BMC	Bmc Software
XNAS	BMRC	Bank Of Marin Bancorp
XNAS	BMRN	Biomarin Pharmaceutical Inc.
XNAS	BMTC	Bryn Mawr Bank Corp.
XNAS	BMTI	Biomimetic Therapeutics
XNAS	BNCL	Beneficial Mutual Bancorp
XNAS	BNCN	Bnc Bancorp
XNAS	BNSO	Bonso Electronics International
XNAS	BOBE	Bob Evans Farms
XNAS	BOCH	Bank Of Commerce Holdings [Ca]
XNAS	BODY	Body Central
XNAS	BOFI	Bofi Holding
XNAS	BOKF	Bok Financial Corp.
XNAS	BOLT	Bolt Technology Corp.
XNAS	BONA	Bona Film Group Limited
XNAS	BONT	The Bon-Ton Stores
XNAS	BOOM	Dynamic Materials Corp.
XNAS	BOSC	B.O.S. Better Online Solutions
XNAS	BOTA	Biota Pharmaceuticals Inc.
XNAS	BOTJ	Bank Of The Jame Fnl
XNAS	BOVA	Bank Of Virginia
XNAS	BPAX	Biosante Pharmaceuticals
XNAS	BPFH	Boston Private Financial Holdings
XNAS	BPFHW	Boston Private Financial Holdings
XNAS	BPHX	Bluephoenix Solutions
XNAS	BPOP	Popular
XNAS	BPOPM	Popular
XNAS	BPOPN	Popular
XNAS	BRCD	Brocade Communications Systems
XNAS	BRCM	Broadcom Corp.
XNAS	BREW	Craft Brewers Alliance Inc
XNAS	BRID	Bridgford Foods Corp.
XNAS	BRKL	Brookline Bancorp
XNAS	BRKR	Bruker Corp.
XNAS	BRKS	Brooks Automation
XNAS	BRLI	Bio-Reference Laboratories
XNAS	BSDM	Bsd Medical Corp.
XNAS	BSET	Bassett Furniture Industries Inc.
XNAS	BSFT	Broadsoft
XNAS	BSPM	Biostar Pharmaceuticals
XNAS	BSQR	Bsquare Corp.
XNAS	BSRR	Sierra Bancorp
XNAS	BSTC	Biospecifics Technologies Corp
XNAS	BTFG	Banctrust Financial Group
XNAS	BTUI	Btu International
XNAS	BUR	Burcon Nutrascience
XNAS	BUSE	First Busey Corp.
XNAS	BV	Bazaarvoice Inc.
XNAS	BVSN	Broadvision
XNAS	BWEN	Broadwind Energy
XNAS	BWINA	Baldwin & Lyons
XNAS	BWINB	Baldwin & Lyons
XNAS	BWLD	Buffalo Wild Wings
XNAS	BYFC	Broadway Financial Corp.
XNAS	CA	CA Inc.
XNAS	CAAS	China Automotive Systems
XNAS	CAC	Camden National Corp.
XNAS	CACB	Cascade Bancorp
XNAS	CACC	Credit Acceptance Corp.
XNAS	CACGU	Chart Acquisition Corp.
XNAS	CACH	Cache
XNAS	CADC	China Advanced Construction
XNAS	CADX	Cadence Pharmaceuticals
XNAS	CAFI	Camco Financial Corp.
XNAS	CAKE	The Cheesecake Factory Inc.
XNAS	CALD	Callidus Software
XNAS	CALI	China Auto Logistics Inc.
XNAS	CALL	Vocaltec Communications Ltd
XNAS	CALM	Cal-Maine Foods
XNAS	CAMP	Calamp
XNAS	CAMT	Camtek Ltd
XNAS	CAR	Avis Budget Group
XNAS	CARB	Carbonite Inc.
XNAS	CART	Carolina Trust Bank
XNAS	CARV	Carver Bancorp
XNAS	CARZ	Nasdaq Global Auto Index First Trust
XNAS	CASH	Meta Financial Group
XNAS	CASM	Cas Medical Systems
XNAS	CASS	Cass Information Systems Inc
XNAS	CASY	Caseys General Stores
XNAS	CATM	Cardtronics
XNAS	CATY	Cathay General Bancorp
XNAS	CAVM	Cavium Inc
XNAS	CBAK	China Bak Battery
XNAS	CBAN	Colony Bankcorp
XNAS	CBEY	Cbeyond
