Market	Symbol	Description
XNYS	A	Agilent Technologies
XNYS	AA	Alcoa Inc.
XNYS	AAN	Aaron's Inc.
XNYS	AAP	Advance Auto Parts Inc
XNYS	AAT	American Assets Trust
XNYS	AAV	Advantage Oil & Gas Ltd
XNYS	AB	Alliance Capital Management L.P.
XNYS	ABB	Abb Ltd
XNYS	ABBV	Abbvie Inc. Common Stock
XNYS	ABC	Amerisourcebergen Corporation
XNYS	ABG	Asbury Automotive Group Inc
XNYS	ABM	Abm Industries Incorporated
XNYS	ABR	Arbor Realty Trust
XNYS	ABT	Abbott Laboratories
XNYS	ABV	Companhia De Bebidas - Ambev
XNYS	ABV.C	Companhia De Bebidas - Ambev
XNYS	ABW-B	Associated Banc-Corp Depositary
XNYS	ABX	Barrick Gold Corp.
XNYS	ACC	American Campus Communities Inc
XNYS	ACCO	Acco Brands Corp.
XNYS	ACE	Ace Limited
XNYS	ACG	Alliancebernstein Income Fund Inc
XNYS	ACH	Aluminum Corporation Of China Ltd
XNYS	ACI	Arch Coal
XNYS	ACM	Aecom Technology Corp.
XNYS	ACMP	Access Midstream Partners L.P.
XNYS	ACN	Accenture Plc.
XNYS	ACO	Amcol International Corp.
XNYS	ACP	Avenue Income Credit Strategies
XNYS	ACRE	Ares Commercial Real Estate Cor
XNYS	ACT	Actavis Inc.
XNYS	ACTV	Active Network Inc
XNYS	ACW	Accuride Corporation New
XNYS	ADC	Agree Realty Corp.
XNYS	ADM	Archer-Daniels-Midland Company
XNYS	ADS	Alliance Data Systems Corp.
XNYS	ADT	Adt Corporation Common Stock W
XNYS	ADX	Adams Express Company
XNYS	ADY	Feihe International
XNYS	AEB	Aegon Nv
XNYS	AEC	Associated Estates Realty Corp.
XNYS	AED	Aegon Nv
XNYS	AEE	Ameren Corp.
XNYS	AEF	Aegon Nv
XNYS	AEG	Aegon Nv
XNYS	AEH	Aegon Nv
XNYS	AEK	Aegon N.V. 8.00%
XNYS	AEL	American Equity Investment Life
XNYS	AEM	Agnico-Eagle Mines Limited
XNYS	AEO	American Eagle Outfitters
XNYS	AEP	American Electric Power Company
XNYS	AER	Aercap Holdings N.V.
XNYS	AES	The Aes Corp.
XNYS	AES-C	Aes TR III 6.75 Pfd
XNYS	AET	Aetna Inc.
XNYS	AEV	Aegon Nv
XNYS	AF	Astoria Financial Corp.
XNYS	AFA	American Financial Group Inc.
XNYS	AFB	Alliance National Municipal
XNYS	AFC	Allied Capital Corp.
XNYS	AFF	American International Group
XNYS	AFG	American Financial Group
XNYS	AFL	Aflac Incorporated
XNYS	AFM	Affiliated Managers Group Inc
XNYS	AFQ	American Financial Group
XNYS	AFSD	Aflac Incorporated
XNYS	AFT	Apollo Senior Floating Rate Fund Inc.
XNYS	AFW	American Financial Group Inc.
XNYS	AG	First Majestic Silver
XNYS	AGC	Advent Claymore Convertible Securities
XNYS	AGCO	Agco Corp.
XNYS	AGD	Alpine Global Dynamic Dividend Fund
XNYS	AGM	Federal Agricultural Mortgage Corp.
XNYS	AGM-A	Federal Agricultural Mortgage
XNYS	AGM.A	Federal Agricultural Mortgage Corp.
XNYS	AGN	Allergan
XNYS	AGO	Assured Guaranty Ltd
XNYS	AGO-B	Assured Guaranty Ltd [B]
XNYS	AGO-E	Assured Guaranty Ltd [E]
XNYS	AGO-F	Assured Guaranty Ltd [F]
XNYS	AGRO	Adecoagro S.A.
XNYS	AGU	Agrium Inc.
XNYS	AH	Accretive Health
XNYS	AHC	A.H. Belo Corp.
XNYS	AHL	Aspen Insurance Holdings
XNYS	AHL-A	Aspen Insurance Pfd
XNYS	AHL-B	Aspen Insurance Holdings Limit
XNYS	AHL.P	Aspen Ins Pfd Inc
XNYS	AHS	Amn Healthcare Services Inc
XNYS	AHT	Ashford Hospitality Trust Inc
XNYS	AHT-A	Ashford Hsop TR Pfd
XNYS	AHT-D	Ashford Hosp D Pfd
XNYS	AHT-E	Ashford Hospitality Trust Inc 9
XNYS	AI	Arlington Asset Investment Corp
XNYS	AIB	Apollo Investment Corporation
XNYS	AIG	American International Group
XNYS	AIG.W	American International Group
XNYS	AIN	Albany International Corp.
XNYS	AIQ	Alliance Healthcare Services
XNYS	AIR	Aar
XNYS	AIT	Applied Industrial Technologies
XNYS	AIV	Apartment Investment And Management
XNYS	AIV-Z	Apartment Inv. & Mgt. Co.
XNYS	AIZ	Assurant
XNYS	AJG	Arthur J. Gallagher & Co.
XNYS	AKO.A	Embotell Andina Sa A
XNYS	AKO.B	Embotell Andna Sa B
XNYS	AKP	Alliance California Muni
XNYS	AKR	Acadia Realty Trust
XNYS	AKS	Ak Steel Holding Corp.
XNYS	AL	Air Lease Corporation Class A C
XNYS	ALB	Albemarle Corp.
XNYS	ALC	Assisted Living Concepts Inc.
XNYS	ALDW	Alon USA Partners Lp
XNYS	ALE	Allete
XNYS	ALEX	Alexander And Baldwin Inc
XNYS	ALG	Alamo Group
XNYS	ALJ	Alon USA Energy
XNYS	ALK	Alaska Air Group
XNYS	ALL	Allstate Corporation
XNYS	ALL-A	Gmac Capital Trust I Fixed Rate
XNYS	ALL-B	Ally Financial Inc Fixed Rate F
XNYS	ALP-N	Alabama Pwr 5.2A Pfd
XNYS	ALP-O	Alabama Pwr 5.83A Pf
XNYS	ALP-P	Alabama Power 5.30 A
XNYS	ALR	Alere Inc.
XNYS	ALR-B	Alere Inc. Inverness Medical In
XNYS	ALSN	Allison Transmission Holdings
XNYS	ALU	Alcatel Lucent
XNYS	ALV	Autoliv
XNYS	ALX	Alexander's
XNYS	AM	American Greetings Corp.
XNYS	AMBO	Ambow Education
XNYS	AMD	Advanced Micro Devices
XNYS	AME	Amtek
XNYS	AMG	Affiliated Managers Group
XNYS	AMID	American Midstreampartners Lp
XNYS	AMP	Ameriprise Financial Services
XNYS	AMP-A	Ameriprise Financial
XNYS	AMRC	Ameresco Inc
XNYS	AMRE	Amreit Inc.
XNYS	AMT	American Tower Corp.
XNYS	AMT-A	Apollo Residential Preferred
XNYS	AMTD	TD Ameritrade Holding Corp.
XNYS	AMTG	Apollo Residential Mortgage In
XNYS	AMX	America Movil S.A.B. De C.V.
XNYS	AN	Autonation
XNYS	ANF	Abercrombie & Fitch Company
XNYS	ANFI	Amira Nature Foods Ltd
XNYS	ANH	Anworth Mortgage Asset Corp.
XNYS	ANH-A	Anworth Mtg Pfd A
XNYS	ANH-B	Anworth 6.25 Pr S B
XNYS	ANN	Ann Inc
XNYS	ANR	Alpha Natural Resources
XNYS	ANW	Aegean Marine Petroleum Network
XNYS	AOD	Alpine Total Dynamic Dividend
XNYS	AOI	Alliance One International
XNYS	AOL	Aol Inc.
XNYS	AON	Aon Plc
XNYS	AOS	Smith [A.O.] Corp.
XNYS	AP	Ampco-Pittsburgh Corp.
XNYS	APA	Apache Corp.
XNYS	APA-D	Apache Corporation
XNYS	APB	Asia Pacific Fund Inc.
XNYS	APC	Anadarko Petroleum Corp.
XNYS	APD	Air Products And Chemicals
XNYS	APF	Morgan Stanley Asia Pacific Fund Inc.
XNYS	APH	Amphenol Corp.
XNYS	APL	Atlas Pipeline Partners L.P.
XNYS	APO	Apollo Global Management Llc C
XNYS	APU	Amerigas Partners L.P.
XNYS	ARB	Arbitron Inc.
XNYS	ARC	American Reprographics Company
XNYS	ARCO	Arcos Dorados Holdings Inc
XNYS	ARDC	Ares Dynamic Credit Allocation
XNYS	ARE	Alexandria Real Estate Equities
XNYS	ARE-E	Alexandria Real Estate Equitie
XNYS	ARG	Airgas
XNYS	ARH-C	Arch Capital Group Ltd. 6.75% P
XNYS	ARI	Apollo Commercial Real Estate
XNYS	ARI-A	Apollo Commercial Real Estate
XNYS	ARK	Senior High Income Portfolio
XNYS	ARL	American Realty Investors
XNYS	ARN	Ares Capital Corporation 7.00%
XNYS	ARO	Aeropostale Inc
XNYS	ARP	Atlas Resource Partners L.P. C
XNYS	ARR	Armour Residential R
XNYS	ARR-A	Armour Residential REIT Inc.
XNYS	ARSD	Arabian American Development
XNYS	ART	Artio Global Investors Inc.
XNYS	ARU	Ares Capital Corporation
XNYS	ARW	Arrow Electronics
XNYS	ARX	Aeroflex Holding
XNYS	ARY	Ares Capital Corp.
XNYS	ASA	Asa Gold And Precious Metals
XNYS	ASG	Liberty All-Star Growth Fund
XNYS	ASGN	On Assignment
XNYS	ASH	Ashland Inc.
XNYS	ASI	American Safety Insurance Holdings
XNYS	ASP	American Strategic Income Portfolio
XNYS	ASR	Grupo Aeroportuario Del Sureste
XNYS	ASX	Advanced Semiconductor Engineering
XNYS	AT	Atlantic Power Corp.
XNYS	ATE	Advantest Corporation Ads
XNYS	ATI	Allegheny Technologies Inc.
XNYS	ATK	Alliant Techsystems Inc.
XNYS	ATLS	Atlas Energy Llc
XNYS	ATO	Atmos Energy Corp.
XNYS	ATR	Aptargroup
XNYS	ATU	Actuant Corp.
XNYS	ATV	Acorn International
XNYS	ATW	Atwood Oceanics
XNYS	AU	Anglogold Ashanti Ltd
XNYS	AU-A	Anglogold Ashanti Holdings Fin
XNYS	AUO	Au Optronics Corp
XNYS	AUQ	Aurico Gold Inc
XNYS	AUY	Yamana Gold
XNYS	AV	Aviva Plc
XNYS	AVA	Avista Corp.
XNYS	AVB	Avalonbay Communities
XNYS	AVD	American Vanguard Corp.
XNYS	AVF	American International Group
XNYS	AVG	Avg Technologies N.V.
XNYS	AVK	Advent Claymore Convertible Securities
XNYS	AVP	Avon Products
XNYS	AVT	Avnet
XNYS	AVV	Aviva Plc
XNYS	AVX	Avx Corp.
XNYS	AVY	Avery Dennison Corp.
XNYS	AWC	Alumina Ltd
XNYS	AWF	Alliance World Dollar Fund II
XNYS	AWH	Allied World Assurance Company
XNYS	AWI	Armstrong World Industries Inc
XNYS	AWK	American Water Works
XNYS	AWP	Alpine Global Premier Properties
XNYS	AWR	American States Water Company
XNYS	AXE	Anixter International Inc.
XNYS	AXL	American Axle & Manufacturing
XNYS	AXLL	Georgia Gulf Corp.
XNYS	AXP	American Express Company
XNYS	AXR	Amrep Corp.
XNYS	AXS	Axis Capital Holdings
XNYS	AXS-A	Axis Capital Pfd A
XNYS	AXS-C	Axis Capital Holdings Limited P
XNYS	AYI	Acuity Brands Inc
XNYS	AYN	Alliance New York Muni
XNYS	AYR	Aircastle Limited
XNYS	AZN	Astrazeneca Plc
XNYS	AZO	Autozone
XNYS	AZZ	Azz Inc.
XNYS	B	Barnes Group
XNYS	BA	Boeing Company
XNYS	BAC	Bank Of America Corp.
XNYS	BAC-D	Bac Dep Share D
XNYS	BAC-E	Bank Amer Corp Dep R
XNYS	BAC-H	Bank Amer Corp Pfd H
XNYS	BAC-I	Bank Amer Corp Pfd
XNYS	BAC-J	Bank Of America Pfd
XNYS	BAC-L	Bank Amer Pfd Ser L
XNYS	BAC-Z	Bac Cap TR ViII
XNYS	BAC.A	Bank Of America Corporation Bac
XNYS	BAC.B	Bank Of America Corporation Bac
XNYS	BAF	Blackrock Income Inv Quality Trust
XNYS	BAH	Booz Allen Hamilton Holding Corp.
XNYS	BAK	Copene-Petroquimica Do Nordeste
XNYS	BALT	Baltic Trading Limited
XNYS	BAM	Brookfield Asset Management Inc
XNYS	BAP	Credicorp Ltd
XNYS	BAS	Basic Energy Services
XNYS	BAX	Baxter International Inc.
XNYS	BBD	Banco Bradesco Sa
XNYS	BBDO	Banco Bradesco S.A.
XNYS	BBF	Blackrock Muni Income Trust
XNYS	BBG	Bill Barrett Corp.
XNYS	BBK	Blackrock Muni Trust
XNYS	BBL	Bhp Billiton Plc
XNYS	BBN	Balckrock Build America Trust
XNYS	BBT	BB&T Corp.
XNYS	BBT-D	BB&T Corporation
XNYS	BBT-E	BB&T Corporation
XNYS	BBT-F	BB&T Corporation
XNYS	BBVA	Banco Bilbao Viscaya Argentaria S.A.
XNYS	BBW	Build-A-Bear Workshop
XNYS	BBX	Bankatlantic Bancorp
XNYS	BBY	Best Buy Co.
XNYS	BC	Brunswick Corp.
XNYS	BCA	Corpbanca
XNYS	BCA.T	Corpbanca
XNYS	BCE	Bce
XNYS	BCEI	Bonanza Creek Energy Inc.
XNYS	BCF	Blackrock Real Asset Equity Trust
XNYS	BCH	Banco De Chile
XNYS	BCO	Brink's Company
XNYS	BCR	C.R. Bard
XNYS	BCS	Barclays Plc
XNYS	BCS-A	Barclays Ads
XNYS	BCS-C	Barclays Bank 4 Ads
XNYS	BCS-D	Barclays Bank Plc
XNYS	BCS.P	Barclays Bk ADR Sr 2
XNYS	BCX	Blackrock Resources Common Shar
XNYS	BDC	Belden Inc
