Market	Symbol	Description
XNYS	A	Agilent Technologies
XNYS	AA	Alcoa Inc.
XTSE	AAA	Allana Potash Corp
XTSE	AAB	Aberdeen International Inc.
XNAS	AACC	Asset Acceptance Capital
XTSE	AAH	Aastra Technologis
XNAS	AAIT	AC Asia Information Tech MSCI Ishares
XNAS	AAME	Atlantic American Corp.
XNYS	AAN	Aaron's Inc.
XNAS	AAON	Aaon
XNYS	AAP	Advance Auto Parts Inc
XNAS	AAPL	Apple Inc.
XTSE	AAR.UN	Pure Industrial Real Estate Trust
XNYS	AAT	American Assets Trust
XNYS	AAV	Advantage Oil & Gas Ltd
XTSE	AAV	Advantage Oil & Gas Ltd.
XTSE	AAV.DB.H	Advantage Oil And Gas 5.0 Pct Conv Debs
XNAS	AAWW	Atlas Air Worldwide Holdings
XNAS	AAXJ	All Country Asia Ex Jpn Idx MSCI Ishares
XNYS	AB	Alliance Capital Management L.P.
XNAS	ABAX	Abaxis
XNYS	ABB	Abb Ltd
XNYS	ABBV	Abbvie Inc. Common Stock
XNYS	ABC	Amerisourcebergen Corporation
XTSE	ABC	Asia Biochem Group Corp
XNAS	ABCB	Ameris Bancorp
XNAS	ABCD	Cambium Learning Group
XNAS	ABCO	The Advisory Board Company
XNAS	ABFS	Arkansas Best Corp.
XNYS	ABG	Asbury Automotive Group Inc
XNAS	ABIO	Arca Biopharma
XTSE	ABK.A	Allbanc Split Corp Class A Capital Shs
XTSE	ABK.PR.B	Allbanc Split Corp.Cl B
XNYS	ABM	Abm Industries Incorporated
XNAS	ABMD	Abiomed
XNYS	ABR	Arbor Realty Trust
XNYS	ABT	Abbott Laboratories
XTSE	ABT	Absolute Software Corp.
XNAS	ABTL	Autobytel Inc.
XNYS	ABV	Companhia De Bebidas - Ambev
XNYS	ABV.C	Companhia De Bebidas - Ambev
XNYS	ABW-B	Associated Banc-Corp Depositary
XNYS	ABX	Barrick Gold Corp.
XTSE	ABX	Barrick Gold Corporation
XTSE	AC.A	Air Canada Cl.A
XTSE	AC.B	Air Canada Cl.B
XNAS	ACAD	Acadia Pharmaceuticals Inc.
XNAS	ACAS	American Capital
XNAS	ACAT	Arctic Cat Inc.
XNYS	ACC	American Campus Communities Inc
XTSE	ACC	Amica Mature
XNAS	ACCL	Accelrys
XNYS	ACCO	Acco Brands Corp.
XTSE	ACD	Accord Financial
XNYS	ACE	Ace Limited
XNAS	ACET	Aceto Corp.
XNAS	ACFC	Atlantic Coast Federal Corp.
XNAS	ACFN	Acorn Energy
XNYS	ACG	Alliancebernstein Income Fund Inc
XNAS	ACGL	Arch Capital Group Ltd
XNYS	ACH	Aluminum Corporation Of China Ltd
XNAS	ACHC	Acadia Healthcare Company Inc.
XNAS	ACHN	Achillion Pharmaceuticals
XNYS	ACI	Arch Coal
XNAS	ACIW	Aci Worldwide
XNAS	ACLS	Axcelis Technologies
XNYS	ACM	Aecom Technology Corp.
XTSE	ACM.A	Astral Media Inc. Cl A. Nv
XTSE	ACM.B	Astral Media Inc. Cl B. Sv
XNYS	ACMP	Access Midstream Partners L.P.
XNYS	ACN	Accenture Plc.
XNAS	ACNB	Acnb Corp.
XNYS	ACO	Amcol International Corp.
XTSE	ACO.X	Atco Ltd. Cl.I Nv
XTSE	ACO.Y	Atco Ltd Cl II
XNAS	ACOR	Acorda Therapeutics
XNYS	ACP	Avenue Income Credit Strategies
XNAS	ACPW	Active Power
XTSE	ACQ	Autocanada Inc
XTSE	ACR.UN	Agellan Commercial REIT
XNYS	ACRE	Ares Commercial Real Estate Cor
XNAS	ACRX	Acelrx Pharmaceuticals
XNAS	ACST	Acasti Pharma Inc
XNYS	ACT	Actavis Inc.
XNAS	ACTG	Acacia Research Corp.
XNAS	ACTS	Actions Semiconductor Co.
XNYS	ACTV	Active Network Inc
XNAS	ACUR	Acura Pharmaceuticals
XNYS	ACW	Accuride Corporation New
XNAS	ACWI	ACWI Index MSCI Ishares
XNAS	ACWX	ACWI Ex-US Index MSCI Ishares
XNAS	ACXM	Acxiom Corp.
XTSE	AD	Alaris Royalty Corp.
XNAS	ADAT	Authentidate Holding
XNAS	ADBE	Adobe Systems Incorporated
XNYS	ADC	Agree Realty Corp.
XTSE	ADC.UN	Canadian Advantaged Convertibles Fund
XNAS	ADEP	Adept Technology
XNAS	ADES	Ada-Es
XNAS	ADI	Analog Devices
XNYS	ADM	Archer-Daniels-Midland Company
XTSE	ADN	Acadian Timber Corp
XNAS	ADNC	Audience Inc.
XNAS	ADP	Automatic Data Processing
XNAS	ADRA	Asia 50 ADR Index Bldrs
XNAS	ADRD	Dev Mkts 100 ADR Index Bldrs
XNAS	ADRE	Emrg Mkts 50 ADR Index Bldrs
XNAS	ADRU	Europe 100 ADR Index Bldrs
XNYS	ADS	Alliance Data Systems Corp.
XNAS	ADSK	Autodesk
XNYS	ADT	Adt Corporation Common Stock W
XNAS	ADTN	Adtran
XNAS	ADUS	Addus Homecare Corp.
XTSE	ADV	Alderon Iron Ore Corp
XNAS	ADVS	Advent Software
XTSE	ADW.A	Andrew Peller Limited Cl.A
XTSE	ADW.B	Andrew Peller Ltd Com Npv Class
XNYS	ADX	Adams Express Company
XNYS	ADY	Feihe International
XNYS	AEB	Aegon Nv
XNYS	AEC	Associated Estates Realty Corp.
XNYS	AED	Aegon Nv
XNYS	AEE	Ameren Corp.
XNYS	AEF	Aegon Nv
XTSE	AEF	Aurora Oil And Gas Ltd
XNYS	AEG	Aegon Nv
XNAS	AEGN	Aegoin Corp
XNAS	AEGR	Aegerion Pharmaceuticals
XNYS	AEH	Aegon Nv
XNAS	AEHR	Aehr Test Systems
XTSE	AEI	Arsenal Energy Inc.
XNAS	AEIS	Advanced Energy Industries
XNYS	AEK	Aegon N.V. 8.00%
XNYS	AEL	American Equity Investment Life
XNYS	AEM	Agnico-Eagle Mines Limited
XTSE	AEM	Agnico-Eagle Mines Ltd.
XTSE	AEM.WT.U	Agnico-Eagle Mines Limited Warrants
XTSE	AEN	Antrim Energy J
XNYS	AEO	American Eagle Outfitters
XNYS	AEP	American Electric Power Company
XNAS	AEPI	Aep Industries Inc.
XNYS	AER	Aercap Holdings N.V.
XNAS	AERL	Asia Entertainment & Resources Ltd
XNYS	AES	The Aes Corp.
XNYS	AES-C	Aes TR III 6.75 Pfd
XNYS	AET	Aetna Inc.
XTSE	AET.UN	Arc Energy Trust
XNAS	AETI	American Electric Technologies
XTSE	AEU.UN	Activenergy Income Fund
XNYS	AEV	Aegon Nv
XNAS	AEY	Addvantage Technologies Group
XTSE	AEZ	Aeterna Zentaris Inc.
XNAS	AEZS	Aeterna Zentaris
XNYS	AF	Astoria Financial Corp.
XTSE	AF	Alarmforce J
XNYS	AFA	American Financial Group Inc.
XNAS	AFAM	Almost Family Inc
XNYS	AFB	Alliance National Municipal
XNYS	AFC	Allied Capital Corp.
XNAS	AFCB	Athens Bancshares Corp.
XNAS	AFCE	Afc Enterprises
XNYS	AFF	American International Group
XNAS	AFFX	Affymetrix
XNAS	AFFY	Affymax
XNYS	AFG	American Financial Group
XNYS	AFL	Aflac Incorporated
XNYS	AFM	Affiliated Managers Group Inc
XTSE	AFN	Ag Growth International Inc.
XTSE	AFN.DB	Ag Growth Intl Inc. 7.0 Conv Debs
XNAS	AFOP	Alliance Fiber Optic Products
XNYS	AFQ	American Financial Group
XNYS	AFSD	Aflac Incorporated
XNAS	AFSI	Amtrust Financial Services
XNYS	AFT	Apollo Senior Floating Rate Fund Inc.
XTSE	AFT.UN	Diversified Alpha Fund II
XNYS	AFW	American Financial Group Inc.
XNYS	AG	First Majestic Silver
XTSE	AGB.UN	Aston Hill Global Agribusiness Fund
XNYS	AGC	Advent Claymore Convertible Securities
XNYS	AGCO	Agco Corp.
XNYS	AGD	Alpine Global Dynamic Dividend Fund
XNAS	AGEN	Agenus Inc.
XTSE	AGF.B	Agf Management Ltd. Cl.B Nv
XTSE	AGI	Alamos Gold Inc.
XNAS	AGII	Argo Group International Holdings Ltd
XNAS	AGIIL	Argo Group International Holdin
XNYS	AGM	Federal Agricultural Mortgage Corp.
XNYS	AGM-A	Federal Agricultural Mortgage
XNYS	AGM.A	Federal Agricultural Mortgage Corp.
XNYS	AGN	Allergan
XNAS	AGNC	American Capital Agency
XNAS	AGNCP	American Capital
XNYS	AGO	Assured Guaranty Ltd
XNYS	AGO-B	Assured Guaranty Ltd [B]
XNYS	AGO-E	Assured Guaranty Ltd [E]
XNYS	AGO-F	Assured Guaranty Ltd [F]
XNYS	AGRO	Adecoagro S.A.
XTSE	AGT	Alliance Grain Traders Inc
XNYS	AGU	Agrium Inc.
XTSE	AGU	Agrium Inc
XNAS	AGYS	Agilysys
XNYS	AH	Accretive Health
XNYS	AHC	A.H. Belo Corp.
XTSE	AHF	Aston Hill Financial Inc
XTSE	AHF.DB	Aston Hill Financial Inc 6 Pct Debs
XNAS	AHGP	Alliance Holdings Gp L.P.
XNYS	AHL	Aspen Insurance Holdings
XNYS	AHL-A	Aspen Insurance Pfd
XNYS	AHL-B	Aspen Insurance Holdings Limit
XNYS	AHL.P	Aspen Ins Pfd Inc
XNAS	AHPI	Allied Healthcare Products
XNYS	AHS	Amn Healthcare Services Inc
XNYS	AHT	Ashford Hospitality Trust Inc
XNYS	AHT-A	Ashford Hsop TR Pfd
XNYS	AHT-D	Ashford Hosp D Pfd
XNYS	AHT-E	Ashford Hospitality Trust Inc 9
XTSE	AHX	Adherex Technologi Com Npv
XTSE	AHX.WT	Adherex Technologies Inc Wts
XTSE	AHY.UN	Advantaged Cdn High Yield Bond Fund
XNYS	AI	Arlington Asset Investment Corp
XTSE	AI	Atrium Mortgage Investment Corp
XNYS	AIB	Apollo Investment Corporation
XTSE	AIF	Altus Group Limited
XTSE	AIF.DB	Altus Group Ltd 5.75 Pct Debs
XTSE	AIF.DB.A	Altus Group Ltd 6.75 Pct Debs
XNYS	AIG	American International Group
XNYS	AIG.W	American International Group
XTSE	AIM	Groupe Aeroplan Inc
XTSE	AIM.PR.A	Groupe Aeroplan Inc Pref Series 1
XNAS	AIMC	Altra Holdings
XNYS	AIN	Albany International Corp.
XNAS	AINV	Apollo Investment Corp.
XNYS	AIQ	Alliance Healthcare Services
XNYS	AIR	Aar
XNAS	AIRM	Air Methods Corp.
XNAS	AIRT	Air T
XNYS	AIT	Applied Industrial Technologies
XNYS	AIV	Apartment Investment And Management
XNYS	AIV-Z	Apartment Inv. & Mgt. Co.
XNAS	AIXG	Aixtron Se
XNYS	AIZ	Assurant
XNYS	AJG	Arthur J. Gallagher & Co.
XNAS	AKAM	Akamai Technologies
XNYS	AKO.A	Embotell Andina Sa A
XNYS	AKO.B	Embotell Andna Sa B
XNYS	AKP	Alliance California Muni
XNYS	AKR	Acadia Realty Trust
XNAS	AKRX	Akorn
XNYS	AKS	Ak Steel Holding Corp.
XTSE	AKT.A	Akita Drilling Ltd. Cl.A Nv
XTSE	AKT.B	Akita Cl B
XNYS	AL	Air Lease Corporation Class A C
XTSE	ALA	Altagas Ltd.
XTSE	ALA.PR.A	Altagas Ltd. Pref A
XTSE	ALA.PR.U	Altagas Ltd Pref Series C
XNYS	ALB	Albemarle Corp.
XTSE	ALB	Allbanc Split Banc Corp II
XTSE	ALB.PR.B	Allbanc Split Corp II Pref Ser 1
XNYS	ALC	Assisted Living Concepts Inc.
XTSE	ALC	Algoma Central
XTSE	ALC.DB	Algoma Central Corp 6 Pct Dbs
XNAS	ALCO	Alico
XNAS	ALCS	Alco Stores Inc
XNYS	ALDW	Alon USA Partners Lp
XNYS	ALE	Allete
XNYS	ALEX	Alexander And Baldwin Inc
XNYS	ALG	Alamo Group
XNAS	ALGN	Align Technology
XNAS	ALGT	Allegiant Travel Company
XNAS	ALIM	Alimera Sciences
XNYS	ALJ	Alon USA Energy
XNYS	ALK	Alaska Air Group
XNAS	ALKS	Alkermes
XNYS	ALL	Allstate Corporation
XNYS	ALL-A	Gmac Capital Trust I Fixed Rate
XNYS	ALL-B	Ally Financial Inc Fixed Rate F
XNAS	ALLB	Alliance Bank
XNAS	ALLT	Allot Communications Ltd
XNAS	ALNC	Alliance Financial Corp.
XNAS	ALNY	Alnylam Pharmaceuticals
XNAS	ALOG	Analogic Corp.
XNAS	ALOT	Astro-Med
XNYS	ALP-N	Alabama Pwr 5.2A Pfd
XNYS	ALP-O	Alabama Pwr 5.83A Pf
XNYS	ALP-P	Alabama Power 5.30 A
XNYS	ALR	Alere Inc.
XNYS	ALR-B	Alere Inc. Inverness Medical In
