date_created,date_updated,stock_id,price_opening,price_high,price_low,price_closing,volume
2013-05-24,2013-05-24,6268,14.98,15.15,14.83,14.93,2251025
2013-05-23,2013-05-23,6268,14.56,15.12,14.54,14.9,3090192
2013-05-22,2013-05-22,6268,15.04,15.25,14.9,15.01,3640383
2013-05-21,2013-05-21,6268,15.45,15.47,15.1,15.16,2782988
2013-05-17,2013-05-17,6268,15.15,15.29,14.96,15.05,2728079
2013-05-16,2013-05-16,6268,15.35,15.4,14.83,15.02,3447530
2013-05-15,2013-05-15,6268,15.16,15.71,15.01,15.27,4303267
2013-05-14,2013-05-14,6268,16.26,16.39,15.17,15.55,7379326
2013-05-13,2013-05-13,6268,15.85,16.3,15.85,16.04,4548704
2013-05-10,2013-05-10,6268,15.6,15.87,15.5,15.71,3513294
2013-05-09,2013-05-09,6268,15.19,15.73,14.91,15.49,6102440
2013-05-08,2013-05-08,6268,15.15,15.23,14.85,14.9,2749355
2013-05-07,2013-05-07,6268,15.49,15.59,14.76,14.93,5066734
2013-05-06,2013-05-06,6268,15.8,16.11,15.59,15.74,2972688
2013-05-03,2013-05-03,6268,16.24,16.25,15.73,15.77,4388198
2013-05-02,2013-05-02,6268,15.76,16.19,15.42,15.83,4019117
2013-05-01,2013-05-01,6268,16.55,16.63,15.6,15.89,4821546
2013-04-30,2013-04-30,6268,15.9,16.72,15.9,16.5,7247157
2013-04-29,2013-04-29,6268,15.6,15.85,15.51,15.78,4838898
2013-04-26,2013-04-26,6268,15.15,15.34,14.92,15.25,2606275
2013-04-25,2013-04-25,6268,15.41,15.71,14.92,15.15,4971030
2013-04-24,2013-04-24,6268,14.85,15.33,14.78,15.25,4428677
2013-04-23,2013-04-23,6268,14.45,14.92,14.33,14.74,3815918
2013-04-22,2013-04-22,6268,14.21,14.49,13.99,14.37,2348372
2013-04-19,2013-04-19,6268,13.88,14.28,13.43,14.19,3560684
2013-04-18,2013-04-18,6268,14.15,14.4,13.73,13.8,2469757
2013-04-17,2013-04-17,6268,14.21,14.58,14.1,14.29,3559537
2013-04-16,2013-04-16,6268,14.26,14.44,14.15,14.21,2464946
2013-04-15,2013-04-15,6268,13.66,14.15,13.66,14.01,2851163
2013-04-12,2013-04-12,6268,13.9,14.19,13.57,13.85,3487360
2013-04-11,2013-04-11,6268,14.36,14.36,13.43,13.82,8331995
2013-04-10,2013-04-10,6268,15.12,15.22,14.69,14.93,4536913
2013-04-09,2013-04-09,6268,14.97,15.15,14.85,15.1,3233765
2013-04-08,2013-04-08,6268,15.2,15.35,14.9,14.9,2724476
2013-04-05,2013-04-05,6268,15.05,15.25,14.88,14.92,3216007
