Market	Symbol	Description
XTSE	AAA	Allana Potash Corp
XTSE	AAB	Aberdeen International Inc.
XTSE	AAH	Aastra Technologis
XTSE	AAR.UN	Pure Industrial Real Estate Trust
XTSE	AAV	Advantage Oil & Gas Ltd.
XTSE	AAV.DB.H	Advantage Oil And Gas 5.0 Pct Conv Debs
XTSE	ABC	Asia Biochem Group Corp
XTSE	ABK.A	Allbanc Split Corp Class A Capital Shs
XTSE	ABK.PR.B	Allbanc Split Corp.Cl B
XTSE	ABT	Absolute Software Corp.
XTSE	ABX	Barrick Gold Corporation
XTSE	AC.A	Air Canada Cl.A
XTSE	AC.B	Air Canada Cl.B
XTSE	ACC	Amica Mature
XTSE	ACD	Accord Financial
XTSE	ACM.A	Astral Media Inc. Cl A. Nv
XTSE	ACM.B	Astral Media Inc. Cl B. Sv
XTSE	ACO.X	Atco Ltd. Cl.I Nv
XTSE	ACO.Y	Atco Ltd Cl II
XTSE	ACQ	Autocanada Inc
XTSE	ACR.UN	Agellan Commercial REIT
XTSE	AD	Alaris Royalty Corp.
XTSE	ADC.UN	Canadian Advantaged Convertibles Fund
XTSE	ADN	Acadian Timber Corp
XTSE	ADV	Alderon Iron Ore Corp
XTSE	ADW.A	Andrew Peller Limited Cl.A
XTSE	ADW.B	Andrew Peller Ltd Com Npv Class
XTSE	AEF	Aurora Oil And Gas Ltd
XTSE	AEI	Arsenal Energy Inc.
XTSE	AEM	Agnico-Eagle Mines Ltd.
XTSE	AEM.WT.U	Agnico-Eagle Mines Limited Warrants
XTSE	AEN	Antrim Energy J
XTSE	AET.UN	Arc Energy Trust
XTSE	AEU.UN	Activenergy Income Fund
XTSE	AEZ	Aeterna Zentaris Inc.
XTSE	AF	Alarmforce J
XTSE	AFN	Ag Growth International Inc.
XTSE	AFN.DB	Ag Growth Intl Inc. 7.0 Conv Debs
XTSE	AFT.UN	Diversified Alpha Fund II
XTSE	AGB.UN	Aston Hill Global Agribusiness Fund
XTSE	AGF.B	Agf Management Ltd. Cl.B Nv
XTSE	AGI	Alamos Gold Inc.
XTSE	AGT	Alliance Grain Traders Inc
XTSE	AGU	Agrium Inc
XTSE	AHF	Aston Hill Financial Inc
XTSE	AHF.DB	Aston Hill Financial Inc 6 Pct Debs
XTSE	AHX	Adherex Technologi Com Npv
XTSE	AHX.WT	Adherex Technologies Inc Wts
XTSE	AHY.UN	Advantaged Cdn High Yield Bond Fund
XTSE	AI	Atrium Mortgage Investment Corp
XTSE	AIF	Altus Group Limited
XTSE	AIF.DB	Altus Group Ltd 5.75 Pct Debs
XTSE	AIF.DB.A	Altus Group Ltd 6.75 Pct Debs
XTSE	AIM	Groupe Aeroplan Inc
XTSE	AIM.PR.A	Groupe Aeroplan Inc Pref Series 1
XTSE	AKT.A	Akita Drilling Ltd. Cl.A Nv
XTSE	AKT.B	Akita Cl B
XTSE	ALA	Altagas Ltd.
XTSE	ALA.PR.A	Altagas Ltd. Pref A
XTSE	ALA.PR.U	Altagas Ltd Pref Series C
XTSE	ALB	Allbanc Split Banc Corp II
XTSE	ALB.PR.B	Allbanc Split Corp II Pref Ser 1
XTSE	ALC	Algoma Central
XTSE	ALC.DB	Algoma Central Corp 6 Pct Dbs
XTSE	ALS	Altius Minerals Corporation
XTSE	AM	Automodular Corporation
XTSE	AMF	Amorfix Life Science Ltd.
XTSE	AMM	Almaden Minerals Ltd.
XTSE	AMZ	Amara Mining Plc
XTSE	ANS	Ainsworth Lumber Co.
XTSE	ANS.WT	Ainsworth Lumber Co. Wts
XTSE	ANV	Allied Nevada Gold Corp.
XTSE	ANX	Anaconda Mining Inc.
XTSE	AOG.UN	Aston Hill Adv Oil And Gas Income Fund
XTSE	AP.UN	Allied Properties Real Estate Inv Trust
XTSE	APY	Anglo Pacific Group Plc
XTSE	AQA	Aquila Resources Inc.
XTSE	AQN	Algonquin Power And Utilities Corp.
XTSE	AQN.PR.A	Algonquin Power And Utilities Pref A
XTSE	AR	Argonaut Gold Inc.
XTSE	ARE	Aecon Group Inc
XTSE	ARE.DB	Aecon Group Inc 7.0 Debs
XTSE	ARE.DB.A	Aecon Group Inc 6.25 Pct Debs
XTSE	ARF	Armtec Infrastructure Inc.
XTSE	ARF.DB	Armtec Infrastructure Inc. 6.50 Debs
XTSE	ARG	Amerigo Resources Ltd.
XTSE	ARL	Africo Resources Ltd
XTSE	ARX	Arc Resources Ltd.
XTSE	ARZ	Aurizon Mines J
XTSE	ASD	Horizons Australian Dollar Currency ETF
XTSE	ASR	Alacer Gold Corp
XTSE	ATA	Ats Automation
XTSE	ATB	Atrium Innovations Inc.
XTSE	ATB.DB	Atrium Innovations 5.75 Pct Debs
